Prof.,CORINA-ELENA,VINȚ,PRESIDENT
Prof.,LAVINIA MIHAELA,DUMITRESCU,VICE PRESIDENT
Prof.,IULIA ELENA,MANICEA,VICE PRESIDENT
Prof.,VICTOR CLAUDIU,MANZ,VICE PRESIDENT
Prof.,MIRELA MAGDALENA,MARINESCU,VICE PRESIDENT
Prof.,ALINA GABRIELA,BOCA,
Prof.,OANA MARIA,CHIOVEANU,
Prof.,ISABELA,COMAN,
Prof.,TUDOR,DÂLCU,
Prof.,CORINA,DOBRESCU,
Prof.,ELENA,DRĂGAN,
Prof.,CĂTĂLINA ANCA,ENESCU,
Prof.,ORTANSA ANDREEA,FARKAȘ,
Prof.,MARCEL ANDREI,HOMORODEAN,
Prof.,SIMONA,IONESCU,
Prof.,ANCA,LEUCIUC,
Prof.,CARMEN NICOLETA,MINCĂ,
Prof.,CRISTINA MARIA,OLARU,
Prof.,DIANA CORINA,PETCULESCU,
Prof.,CRISTINA,POPESCU,
Prof.,IONELA,STAN CRISTACHE,
Prof.,RĂZVAN,TALIU,
Prof.,LAURA,UNGUREANU,
Prof.,ELENA,VOICILĂ,
